Unit	Team	Topic
Animal Systems	Equine	Pasture Management
Animal Systems	Farm Animal Welfare	Animal Handling
Animal Systems	Farm Animal Welfare	Animal Mortalities
Animal Systems	Farm Animal Welfare	Animal Quality Assurance Programs
Animal Systems	Farm Animal Welfare	Diseases
Animal Systems	Farm Animal Welfare	Facilities
Animal Systems	Farm Animal Welfare	Farm Biosecurity
Animal Systems	Livestock	Business Management
Animal Systems	Livestock	Health and Care
Animal Systems	Livestock	Marketing
Animal Systems	Livestock	Nutrition and Feed Management
Animal Systems	Livestock	Reproduction and Genetics
Animal Systems	Poultry	Insect and Animal Pest Monitoring and Management
Animal Systems	Poultry	Layer Production and Egg Quality
Animal Systems	Poultry	"Nutrient Management, Environmental Issues, and Community Outreach"
Animal Systems	Poultry	Poultry Health and Food Safety
Animal Systems	Poultry	Poultry Welfare Systems and Assessment
Animal Systems	Poultry	Poultry Youth Leadership Training
Animal Systems	Poultry	"Production, Management, and Processing"
Animal Systems	Poultry	Small Scale and Specialty Poultry Systems
Animal Systems	Poultry	Transport and Poultry Handling
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Ag Literacy
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Community Vitality and Engagement
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Financial and Business Planning
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Human Resources and Workforce Development
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Investing and Management
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Marketing
"Energy, Entrepreneurship, and Community Development"	Business and Community Vitality	Risk Management
"Energy, Entrepreneurship, and Community Development"	Shale Gas	Agriculture and the Environment
"Energy, Entrepreneurship, and Community Development"	Shale Gas	Business and Workforce
"Energy, Entrepreneurship, and Community Development"	Shale Gas	Government Policy
"Energy, Entrepreneurship, and Community Development"	Shale Gas	Research and Utilization
"Energy, Entrepreneurship, and Community Development"	Shale Gas	Shale Energy and the Landowner
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Ag Business Basics
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Beginning Dairy Farming
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Beginning Livestock Farming
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Beginning Produce Farming
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Exploring Farming
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	New Women Farmers
"Energy, Entrepreneurship, and Community Development"	Small and Beginning Farmers	Next Generation Farmers
Food Safety and Quality	FSMA	Food Defense
Food Safety and Quality	FSMA	Foreign Supply Verification
Food Safety and Quality	FSMA	Preventive Controls for Animal Feed
Food Safety and Quality	FSMA	Preventive Controls for Human Food
Food Safety and Quality	FSMA	Produce Safety
Food Safety and Quality	FSMA	Transportation Sanitation
Food Safety and Quality	Industrial Food Safety and Quality	Enology
Food Safety and Quality	Industrial Food Safety and Quality	Food Processing Food Safety: FDA Regulated
Food Safety and Quality	Industrial Food Safety and Quality	Food Processing Food Safety: USDA Regulated
Food Safety and Quality	Industrial Food Safety and Quality	Food Quality
Food Safety and Quality	Industrial Food Safety and Quality	General Education and Awareness
Food Safety and Quality	Industrial Food Safety and Quality	Good Manufacturing Practices
Food Safety and Quality	Industrial Food Safety and Quality	Produce Growing and Packaging Safety
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Consumer Safe Food Handling
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Farmers Market Food Safety Training
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Food Service Manager Food Safety Training (Certification)
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Food Service Worker Food Safety Training
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	General Education and Awareness
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Home Food Preservation
Food Safety and Quality	"Retail, Food Service, and Consumer Food Safety"	Volunteer Food Safety Training
"Food, Families, and Health"	Family Well-being	Child Care
"Food, Families, and Health"	Family Well-being	Financial Management
"Food, Families, and Health"	Family Well-being	Intergenerational and Aging
"Food, Families, and Health"	Family Well-being	Mental and Behavioral Health
"Food, Families, and Health"	Family Well-being	Strengthening the family
"Food, Families, and Health"	Family Well-being	Substance abuse
"Food, Families, and Health"	Health and Wellness	Adulting
"Food, Families, and Health"	Health and Wellness	Disease Management
"Food, Families, and Health"	Health and Wellness	Disease Prevention
"Food, Families, and Health"	Health and Wellness	Health Literacy
"Food, Families, and Health"	Health and Wellness	Healthy Lifestyle
"Food, Families, and Health"	Health and Wellness	Successful Aging
"Food, Families, and Health"	Vector Borne Diseases	Vector Borne Diseases
Horticulture	Grape Profitability and Sustainability	"Grape Production, Management, and Harvesting Practices"
Horticulture	Grape Profitability and Sustainability	Spotted Lanternfly
Horticulture	Grape Profitability and Sustainability	Vineyard Business Management and Regulations
Horticulture	Green Industry and Infrastructure	Commercial Green Infrastructure
Horticulture	Green Industry and Infrastructure	General Education and Awareness
Horticulture	Green Industry and Infrastructure	Green Industry Pesticide Safety Education
Horticulture	Green Industry and Infrastructure	Landscape Services and Grounds Management (Non-Turf)
Horticulture	Green Industry and Infrastructure	Nursery and Christmas Tree Production
Horticulture	Green Industry and Infrastructure	Ornamentals and Floriculture Production
Horticulture	Green Industry and Infrastructure	Spotted Lanternfly
Horticulture	Green Industry and Infrastructure	Turfgrass Management
Horticulture	Master Gardeners (Consumer Horticulture)	Consumer Green Infrastructure
Horticulture	Master Gardeners (Consumer Horticulture)	Home Garden Integrated Pest Management
Horticulture	Master Gardeners (Consumer Horticulture)	"Home Vegetable, Herb and Fruit Production"
Horticulture	Master Gardeners (Consumer Horticulture)	Master Gardeners Volunteer Training
Horticulture	Master Gardeners (Consumer Horticulture)	Ornamentals and Landscape Plants for the Home Garden
Horticulture	Master Gardeners (Consumer Horticulture)	Pollinator Education and Gardening for Wildlife
Horticulture	Master Gardeners (Consumer Horticulture)	Spotted Lanternfly
Horticulture	Tree Fruit Profitability and Sustainability	Orchard Business Management and Regulations
Horticulture	Tree Fruit Profitability and Sustainability	Spotted Lanternfly
Horticulture	Tree Fruit Profitability and Sustainability	"Tree Fruit Production, Orchard Site Management, and Harvesting Practices"
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	Mushroom Business Management and Regulations
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	"Mushroom Production, Management, and Harvesting Practices"
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	Small Fruit Business Management and Regulations
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	"Small Fruit Production, Management, and Harvesting Practices"
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	Vegetable Business Management and Regulations
Horticulture	"Vegetable, Small Fruit, and Mushroom Profitability and Sustainability"	"Vegetable Production, Management, and Harvesting Practices"
